material_id,title,subject,competency,grade_level,difficulty,content_type,duration_minutes,file_path,file_url,description
22,"S2 Mathematics: Surds and Laws of Indices",Mathematics,"Numbers Surds and Indices",S2,Intermediate,PDF,45,/static/materials/math/s2/surds-indices.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s2/surds-and-laws-of-indices.pdf,"Simplifies expressions involving surds and applies all laws of positive and negative indices."
23,"S3 Mathematics: Polynomials and the Factor Theorem",Mathematics,"Algebra Polynomials and Rational Expressions",S3,Advanced,PDF,55,/static/materials/math/s3/polynomials-factor-theorem.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s3/polynomials-and-factor-theorem.pdf,"Introduces polynomial division, the factor theorem and the remainder theorem with applications."
24,"S3 Mathematics: Rational Expressions and Partial Fractions",Mathematics,"Algebra Polynomials and Rational Expressions",S3,Advanced,PDF,50,/static/materials/math/s3/rational-partial-fractions.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s3/rational-expressions-and-partial-fractions.pdf,"Simplifies rational algebraic expressions and resolves them into partial fractions."
25,"S3 Mathematics: Laws of Logarithms",Mathematics,"Logarithmic and Exponential Functions",S3,Advanced,PDF,55,/static/materials/math/s3/laws-of-logarithms.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s3/laws-of-logarithms.pdf,"Establishes the laws of logarithms and converts between logarithmic and exponential forms."
26,"S3 Mathematics: Exponential Growth and Decay",Mathematics,"Logarithmic and Exponential Functions",S3,Advanced,PDF,50,/static/materials/math/s3/exponential-growth-decay.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s3/exponential-growth-and-decay.pdf,"Models exponential growth and decay using logarithmic equations and graphs in real-world contexts."
27,"S3 Mathematics: Compound Angle and Double Angle Identities",Mathematics,"Trigonometry Advanced Applications",S3,Advanced,PDF,60,/static/materials/math/s3/compound-double-angle.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s3/compound-and-double-angle-identities.pdf,"Proves and applies compound angle, double angle and half angle trigonometric identities."
28,"S3 Mathematics: Introduction to Differentiation",Mathematics,"Introduction to Calculus Differentiation",S3,Advanced,PDF,60,/static/materials/math/s3/intro-differentiation.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s3/introduction-to-differentiation.pdf,"Differentiates polynomial and simple composite functions using the power rule and first principles."
29,"S3 Mathematics: Applications of Derivatives",Mathematics,"Introduction to Calculus Differentiation",S3,Advanced,PDF,55,/static/materials/math/s3/applications-derivatives.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s3/applications-of-derivatives.pdf,"Applies differentiation to find rates of change, equations of tangents, normals and optimisation problems."
30,"S3 Mathematics: Vectors in 2D and 3D",Mathematics,"Vectors and Transformations",S3,Advanced,PDF,55,/static/materials/math/s3/vectors-2d-3d.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s3/vectors-in-2d-and-3d.pdf,"Introduces vector notation, addition, scalar multiplication and the scalar (dot) product in 2D and 3D."
31,"S3 Mathematics: Probability Theory and Counting",Mathematics,"Probability and Statistical Distributions",S3,Advanced,PDF,50,/static/materials/math/s3/probability-theory.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s3/probability-theory-and-counting.pdf,"Defines probability, mutually exclusive events, the addition rule and conditional probability."
32,"S3 Mathematics: Binomial and Normal Distributions",Mathematics,"Probability and Statistical Distributions",S3,Advanced,PDF,55,/static/materials/math/s3/binomial-normal-distributions.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s3/binomial-and-normal-distributions.pdf,"Introduces the binomial distribution and the normal distribution with standardisation and z-scores."
33,"S1 Physics: Physical Quantities, Units and Measurements",Physics,"Physical Quantities and Units",S1,Beginner,PDF,40,/static/materials/physics/s1/quantities-units.pdf,https://elearning.reb.rw/assets/pdfs/physics/s1/physical-quantities-units-and-measurements.pdf,"Introduces SI base and derived units, measuring instruments and the importance of standardised units."
34,"S1 Physics: Scientific Notation and Measurement Errors",Physics,"Physical Quantities and Units",S1,Intermediate,PDF,35,/static/materials/physics/s1/scientific-notation-errors.pdf,https://elearning.reb.rw/assets/pdfs/physics/s1/scientific-notation-and-measurement-errors.pdf,"Covers scientific notation, significant figures, accuracy, precision and estimation of experimental errors."
35,"S1 Physics: Newton's Laws of Motion",Physics,"Forces and Newtons Laws",S1,Beginner,PDF,50,/static/materials/physics/s1/newtons-laws.pdf,https://elearning.reb.rw/assets/pdfs/physics/s1/newtons-laws-of-motion.pdf,"Explains Newton's three laws of motion with demonstrations and quantitative problem solving."
36,"S1 Physics: Friction, Gravity and Equilibrium",Physics,"Forces and Newtons Laws",S1,Intermediate,PDF,45,/static/materials/physics/s1/friction-gravity-equilibrium.pdf,https://elearning.reb.rw/assets/pdfs/physics/s1/friction-gravity-and-equilibrium.pdf,"Investigates friction, gravitational force, equilibrium conditions and drawing free body diagrams."
37,"S1 Physics: Forms of Energy and Transformation",Physics,"Energy Forms and Conservation",S1,Beginner,PDF,45,/static/materials/physics/s1/energy-forms-transformation.pdf,https://elearning.reb.rw/assets/pdfs/physics/s1/forms-of-energy-and-transformation.pdf,"Identifies kinetic, potential, chemical, electrical and thermal forms of energy and their interconversions."
38,"S1 Physics: Conservation of Energy and Efficiency",Physics,"Energy Forms and Conservation",S1,Intermediate,PDF,40,/static/materials/physics/s1/conservation-energy.pdf,https://elearning.reb.rw/assets/pdfs/physics/s1/conservation-of-energy-and-efficiency.pdf,"Applies the law of conservation of energy to mechanical and thermal systems and calculates efficiency."
39,"S1 Physics: Reflection of Light and Plane Mirrors",Physics,"Light Reflection and Refraction",S1,Beginner,PDF,40,/static/materials/physics/s1/reflection-plane-mirrors.pdf,https://elearning.reb.rw/assets/pdfs/physics/s1/reflection-of-light-and-plane-mirrors.pdf,"Explains the laws of reflection and draws ray diagrams for plane and curved mirrors."
40,"S1 Physics: Refraction of Light and Lenses",Physics,"Light Reflection and Refraction",S1,Intermediate,PDF,45,/static/materials/physics/s1/refraction-lenses.pdf,https://elearning.reb.rw/assets/pdfs/physics/s1/refraction-of-light-and-lenses.pdf,"Explains refraction using Snell's law and draws ray diagrams for converging and diverging lenses."
41,"S1 Physics: States of Matter and Particle Theory",Physics,"Matter States and Properties",S1,Beginner,PDF,35,/static/materials/physics/s1/states-of-matter.pdf,https://elearning.reb.rw/assets/pdfs/physics/s1/states-of-matter-and-particle-theory.pdf,"Describes the particle model of matter and explains properties of solids, liquids and gases."
42,"S1 Physics: Density, Pressure and Buoyancy",Physics,"Matter States and Properties",S1,Intermediate,PDF,40,/static/materials/physics/s1/density-pressure-buoyancy.pdf,https://elearning.reb.rw/assets/pdfs/physics/s1/density-pressure-and-buoyancy.pdf,"Calculates density, explains pressure in fluids and applies Archimedes' principle and Pascal's law."
43,"S2 Physics: Work, Energy and Power",Physics,"Mechanics Work Energy and Power",S2,Intermediate,PDF,50,/static/materials/physics/s2/work-energy-power.pdf,https://elearning.reb.rw/assets/pdfs/physics/s2/work-energy-and-power.pdf,"Defines work, kinetic and potential energy, and power and solves problems involving mechanical systems."
44,"S2 Physics: Simple Machines and Mechanical Advantage",Physics,"Mechanics Work Energy and Power",S2,Advanced,PDF,45,/static/materials/physics/s2/simple-machines.pdf,https://elearning.reb.rw/assets/pdfs/physics/s2/simple-machines-and-mechanical-advantage.pdf,"Analyses levers, pulleys, inclined planes and wheel-and-axle systems and their mechanical advantages."
45,"S2 Physics: Heat, Temperature and Thermal Expansion",Physics,"Thermal Physics and Heat Transfer",S2,Intermediate,PDF,45,/static/materials/physics/s2/heat-temperature-expansion.pdf,https://elearning.reb.rw/assets/pdfs/physics/s2/heat-temperature-and-thermal-expansion.pdf,"Distinguishes heat from temperature, explains thermal expansion and introduces the gas laws."
46,"S2 Physics: Conduction, Convection and Radiation",Physics,"Thermal Physics and Heat Transfer",S2,Advanced,PDF,50,/static/materials/physics/s2/heat-transfer-methods.pdf,https://elearning.reb.rw/assets/pdfs/physics/s2/conduction-convection-and-radiation.pdf,"Compares conduction, convection and radiation as methods of heat transfer with real-world applications."
47,"S2 Physics: Properties of Waves",Physics,"Wave Properties Sound and Light",S2,Intermediate,PDF,45,/static/materials/physics/s2/wave-properties.pdf,https://elearning.reb.rw/assets/pdfs/physics/s2/properties-of-waves.pdf,"Defines wave properties: frequency, wavelength, amplitude and speed and applies the wave equation."
48,"S2 Physics: Sound Waves and the Doppler Effect",Physics,"Wave Properties Sound and Light",S2,Advanced,PDF,50,/static/materials/physics/s2/sound-doppler.pdf,https://elearning.reb.rw/assets/pdfs/physics/s2/sound-waves-and-doppler-effect.pdf,"Analyses longitudinal sound waves, resonance conditions and the Doppler effect for moving sources."
49,"S2 Physics: Ohm's Law and DC Circuits",Physics,"Electricity DC Circuits and Ohms Law",S2,Intermediate,PDF,50,/static/materials/physics/s2/ohms-law-dc-circuits.pdf,https://elearning.reb.rw/assets/pdfs/physics/s2/ohms-law-and-dc-circuits.pdf,"Applies Ohm's law and Kirchhoff's voltage and current laws to analyse simple DC circuits."
50,"S2 Physics: Series and Parallel Circuits",Physics,"Electricity DC Circuits and Ohms Law",S2,Advanced,PDF,55,/static/materials/physics/s2/series-parallel-circuits.pdf,https://elearning.reb.rw/assets/pdfs/physics/s2/series-and-parallel-circuits.pdf,"Compares series and parallel circuits and solves problems involving combined resistances and power."
51,"S2 Physics: Magnetic Fields and Electromagnetism",Physics,"Electromagnetism Basic Concepts",S2,Intermediate,PDF,45,/static/materials/physics/s2/magnetic-fields.pdf,https://elearning.reb.rw/assets/pdfs/physics/s2/magnetic-fields-and-electromagnetism.pdf,"Describes magnetic fields, draws field lines, and explains the motor effect and force on a current."
52,"S3 Physics: Kinematics and Equations of Motion",Physics,"Kinematics and Projectile Motion",S3,Advanced,PDF,55,/static/materials/physics/s3/kinematics-equations.pdf,https://elearning.reb.rw/assets/pdfs/physics/s3/kinematics-and-equations-of-motion.pdf,"Derives and applies the SUVAT equations of uniformly accelerated linear motion with graphs."
53,"S3 Physics: Projectile and Circular Motion",Physics,"Kinematics and Projectile Motion",S3,Advanced,PDF,60,/static/materials/physics/s3/projectile-circular-motion.pdf,https://elearning.reb.rw/assets/pdfs/physics/s3/projectile-and-circular-motion.pdf,"Analyses two-dimensional projectile motion and uniform circular motion with centripetal acceleration."
54,"S3 Physics: AC Circuits and Transformers",Physics,"Electricity AC Circuits and Electronics",S3,Advanced,PDF,55,/static/materials/physics/s3/ac-circuits-transformers.pdf,https://elearning.reb.rw/assets/pdfs/physics/s3/ac-circuits-and-transformers.pdf,"Explains AC generation, RMS values, phase diagrams and the operating principles of transformers."
55,"S3 Physics: Semiconductors and Basic Electronics",Physics,"Electricity AC Circuits and Electronics",S3,Advanced,PDF,50,/static/materials/physics/s3/semiconductors-electronics.pdf,https://elearning.reb.rw/assets/pdfs/physics/s3/semiconductors-and-basic-electronics.pdf,"Introduces p-n junction diodes, transistors as switches and basic logic gate circuits."
56,"S3 Physics: Atomic Models and Energy Levels",Physics,"Atomic Structure and Nuclear Physics",S3,Advanced,PDF,60,/static/materials/physics/s3/atomic-models.pdf,https://elearning.reb.rw/assets/pdfs/physics/s3/atomic-models-and-energy-levels.pdf,"Describes Thomson's, Rutherford's and Bohr's atomic models and quantum electron energy levels."
57,"S3 Physics: Radioactivity and Nuclear Reactions",Physics,"Atomic Structure and Nuclear Physics",S3,Advanced,PDF,55,/static/materials/physics/s3/radioactivity-nuclear.pdf,https://elearning.reb.rw/assets/pdfs/physics/s3/radioactivity-and-nuclear-reactions.pdf,"Explains alpha, beta and gamma decay, writes nuclear equations, and covers half-life, fission and fusion."
58,"S3 Physics: Faraday's Law and Electromagnetic Induction",Physics,"Electromagnetic Induction",S3,Advanced,PDF,55,/static/materials/physics/s3/faradays-law.pdf,https://elearning.reb.rw/assets/pdfs/physics/s3/faradays-law-and-electromagnetic-induction.pdf,"States and applies Faraday's law and Lenz's law and calculates induced EMF in various scenarios."
59,"S3 Physics: Motors and Generators",Physics,"Electromagnetic Induction",S3,Advanced,PDF,50,/static/materials/physics/s3/motors-generators.pdf,https://elearning.reb.rw/assets/pdfs/physics/s3/electric-motors-and-generators.pdf,"Describes the structure and operating principles of DC motors, AC generators and their efficiency."
60,"S3 Physics: Wave Optics, Interference and Diffraction",Physics,"Optics Interference and Diffraction",S3,Advanced,PDF,55,/static/materials/physics/s3/wave-optics.pdf,https://elearning.reb.rw/assets/pdfs/physics/s3/wave-optics-interference-and-diffraction.pdf,"Investigates wave superposition, Young's double-slit interference pattern and diffraction gratings."
