material_id,title,subject,competency,grade_level,difficulty,content_type,duration_minutes,file_path
20,Mathematics - Geometry and Measurement - Lesson 14,Mathematics,Algebra and Equations,S2,Beginner,Interactive Exercise,56,/materials/mathematics/lesson_20.pdf
21,Physics - Matter and Heat - Lesson 6,Physics,Matter and Heat,S1,Advanced,Video,50,/materials/physics/lesson_21.pdf
22,Mathematics - Algebra and Equations - Lesson 12,Mathematics,Algebra and Equations,S3,Advanced,PDF,48,/materials/mathematics/lesson_22.pdf
23,Physics - Light and Sound - Lesson 1,Physics,Mechanics and Motion,S2,Intermediate,PDF,13,/materials/physics/lesson_23.pdf
24,Mathematics - Ratios and Proportions - Lesson 3,Mathematics,Numbers and Operations,S3,Intermediate,PDF,58,/materials/mathematics/lesson_24.pdf
25,Mathematics - Algebra and Equations - Lesson 16,Mathematics,Ratios and Proportions,S1,Intermediate,Interactive Exercise,48,/materials/mathematics/lesson_25.pdf
26,Physics - Forces and Energy - Lesson 18,Physics,Scientific Investigation,S3,Beginner,Interactive Exercise,29,/materials/physics/lesson_26.pdf
27,Physics - Scientific Investigation - Lesson 12,Physics,Light and Sound,S3,Intermediate,PDF,25,/materials/physics/lesson_27.pdf
28,Mathematics - Numbers and Operations - Lesson 11,Mathematics,Numbers and Operations,S3,Advanced,PDF,47,/materials/mathematics/lesson_28.pdf
29,Mathematics - Numbers and Operations - Lesson 3,Mathematics,Functions and Graphs,S3,Beginner,PDF,14,/materials/mathematics/lesson_29.pdf
30,Mathematics - Geometry and Measurement - Lesson 3,Mathematics,Ratios and Proportions,S1,Intermediate,Interactive Exercise,41,/materials/mathematics/lesson_30.pdf
31,Mathematics - Ratios and Proportions - Lesson 5,Mathematics,Functions and Graphs,S3,Advanced,Video,25,/materials/mathematics/lesson_31.pdf
32,Physics - Light and Sound - Lesson 7,Physics,Mechanics and Motion,S1,Advanced,Video,32,/materials/physics/lesson_32.pdf
33,Physics - Light and Sound - Lesson 15,Physics,Scientific Investigation,S1,Advanced,Interactive Exercise,51,/materials/physics/lesson_33.pdf
34,Mathematics - Numbers and Operations - Lesson 13,Mathematics,Functions and Graphs,S2,Beginner,PDF,22,/materials/mathematics/lesson_34.pdf
35,Mathematics - Ratios and Proportions - Lesson 15,Mathematics,Algebra and Equations,S2,Beginner,Video,39,/materials/mathematics/lesson_35.pdf
36,Mathematics - Numbers and Operations - Lesson 15,Mathematics,Ratios and Proportions,S1,Beginner,Interactive Exercise,44,/materials/mathematics/lesson_36.pdf
37,Mathematics - Numbers and Operations - Lesson 8,Mathematics,Algebra and Equations,S2,Intermediate,Video,23,/materials/mathematics/lesson_37.pdf
38,Physics - Mechanics and Motion - Lesson 6,Physics,Light and Sound,S1,Intermediate,Video,60,/materials/physics/lesson_38.pdf
39,Physics - Electricity and Magnetism - Lesson 14,Physics,Scientific Investigation,S3,Advanced,Interactive Exercise,55,/materials/physics/lesson_39.pdf
40,Physics - Forces and Energy - Lesson 7,Physics,Electricity and Magnetism,S1,Beginner,Interactive Exercise,57,/materials/physics/lesson_40.pdf
41,Mathematics - Functions and Graphs - Lesson 11,Mathematics,Numbers and Operations,S1,Advanced,Video,42,/materials/mathematics/lesson_41.pdf
42,Mathematics - Numbers and Operations - Lesson 17,Mathematics,Numbers and Operations,S1,Beginner,Interactive Exercise,14,/materials/mathematics/lesson_42.pdf
43,Mathematics - Statistics and Probability - Lesson 4,Mathematics,Ratios and Proportions,S1,Advanced,Interactive Exercise,12,/materials/mathematics/lesson_43.pdf
44,Mathematics - Statistics and Probability - Lesson 19,Mathematics,Ratios and Proportions,S3,Intermediate,Video,23,/materials/mathematics/lesson_44.pdf
45,Physics - Forces and Energy - Lesson 9,Physics,Light and Sound,S1,Advanced,Interactive Exercise,29,/materials/physics/lesson_45.pdf
46,Physics - Electricity and Magnetism - Lesson 3,Physics,Mechanics and Motion,S2,Advanced,Interactive Exercise,16,/materials/physics/lesson_46.pdf
47,Mathematics - Ratios and Proportions - Lesson 7,Mathematics,Ratios and Proportions,S2,Beginner,Video,14,/materials/mathematics/lesson_47.pdf
48,Mathematics - Geometry and Measurement - Lesson 10,Mathematics,Algebra and Equations,S2,Advanced,Interactive Exercise,29,/materials/mathematics/lesson_48.pdf
49,Mathematics - Functions and Graphs - Lesson 18,Mathematics,Geometry and Measurement,S3,Beginner,PDF,26,/materials/mathematics/lesson_49.pdf
50,Mathematics - Numbers and Operations - Lesson 18,Mathematics,Algebra and Equations,S2,Intermediate,Interactive Exercise,23,/materials/mathematics/lesson_50.pdf
51,Physics - Forces and Energy - Lesson 9,Physics,Matter and Heat,S2,Intermediate,PDF,15,/materials/physics/lesson_51.pdf
52,Physics - Electricity and Magnetism - Lesson 2,Physics,Mechanics and Motion,S2,Beginner,Interactive Exercise,26,/materials/physics/lesson_52.pdf
53,Mathematics - Functions and Graphs - Lesson 15,Mathematics,Ratios and Proportions,S3,Intermediate,Interactive Exercise,10,/materials/mathematics/lesson_53.pdf
54,Mathematics - Numbers and Operations - Lesson 5,Mathematics,Ratios and Proportions,S1,Intermediate,Interactive Exercise,45,/materials/mathematics/lesson_54.pdf
55,Mathematics - Statistics and Probability - Lesson 5,Mathematics,Numbers and Operations,S2,Intermediate,PDF,32,/materials/mathematics/lesson_55.pdf
56,Mathematics - Functions and Graphs - Lesson 8,Mathematics,Functions and Graphs,S1,Intermediate,Interactive Exercise,36,/materials/mathematics/lesson_56.pdf
57,Mathematics - Algebra and Equations - Lesson 6,Mathematics,Algebra and Equations,S2,Beginner,PDF,57,/materials/mathematics/lesson_57.pdf
58,Physics - Light and Sound - Lesson 8,Physics,Electricity and Magnetism,S1,Advanced,PDF,34,/materials/physics/lesson_58.pdf
59,Mathematics - Statistics and Probability - Lesson 8,Mathematics,Algebra and Equations,S2,Intermediate,Video,60,/materials/mathematics/lesson_59.pdf
60,Mathematics - Algebra and Equations - Lesson 1,Mathematics,Functions and Graphs,S1,Intermediate,Video,27,/materials/mathematics/lesson_60.pdf
61,Mathematics - Geometry and Measurement - Lesson 12,Mathematics,Functions and Graphs,S3,Intermediate,Interactive Exercise,44,/materials/mathematics/lesson_61.pdf
62,Physics - Mechanics and Motion - Lesson 4,Physics,Electricity and Magnetism,S1,Advanced,Video,12,/materials/physics/lesson_62.pdf
63,Mathematics - Ratios and Proportions - Lesson 14,Mathematics,Geometry and Measurement,S3,Intermediate,Video,48,/materials/mathematics/lesson_63.pdf
64,Mathematics - Statistics and Probability - Lesson 19,Mathematics,Algebra and Equations,S2,Beginner,Interactive Exercise,37,/materials/mathematics/lesson_64.pdf
65,Mathematics - Ratios and Proportions - Lesson 18,Mathematics,Functions and Graphs,S3,Advanced,Interactive Exercise,52,/materials/mathematics/lesson_65.pdf
66,Mathematics - Geometry and Measurement - Lesson 14,Mathematics,Numbers and Operations,S3,Intermediate,Interactive Exercise,30,/materials/mathematics/lesson_66.pdf
67,Mathematics - Functions and Graphs - Lesson 10,Mathematics,Ratios and Proportions,S2,Advanced,Video,30,/materials/mathematics/lesson_67.pdf
68,Physics - Scientific Investigation - Lesson 10,Physics,Matter and Heat,S1,Beginner,Video,52,/materials/physics/lesson_68.pdf
69,Physics - Scientific Investigation - Lesson 6,Physics,Matter and Heat,S3,Intermediate,Video,45,/materials/physics/lesson_69.pdf
70,Mathematics - Geometry and Measurement - Lesson 10,Mathematics,Algebra and Equations,S2,Advanced,Interactive Exercise,51,/materials/mathematics/lesson_70.pdf
71,Physics - Light and Sound - Lesson 15,Physics,Light and Sound,S3,Beginner,Interactive Exercise,40,/materials/physics/lesson_71.pdf
72,Mathematics - Functions and Graphs - Lesson 3,Mathematics,Geometry and Measurement,S3,Advanced,Interactive Exercise,49,/materials/mathematics/lesson_72.pdf
73,Physics - Mechanics and Motion - Lesson 8,Physics,Scientific Investigation,S2,Beginner,PDF,19,/materials/physics/lesson_73.pdf
74,Mathematics - Numbers and Operations - Lesson 8,Mathematics,Statistics and Probability,S3,Beginner,Video,36,/materials/mathematics/lesson_74.pdf
75,Mathematics - Functions and Graphs - Lesson 13,Mathematics,Statistics and Probability,S2,Beginner,PDF,51,/materials/mathematics/lesson_75.pdf
76,Mathematics - Numbers and Operations - Lesson 14,Mathematics,Algebra and Equations,S1,Advanced,Interactive Exercise,39,/materials/mathematics/lesson_76.pdf
77,Mathematics - Ratios and Proportions - Lesson 8,Mathematics,Numbers and Operations,S2,Beginner,Video,52,/materials/mathematics/lesson_77.pdf
78,Physics - Light and Sound - Lesson 20,Physics,Scientific Investigation,S3,Intermediate,Interactive Exercise,38,/materials/physics/lesson_78.pdf
79,Mathematics - Functions and Graphs - Lesson 16,Mathematics,Statistics and Probability,S2,Beginner,Interactive Exercise,27,/materials/mathematics/lesson_79.pdf
80,Physics - Scientific Investigation - Lesson 8,Physics,Electricity and Magnetism,S2,Beginner,Interactive Exercise,28,/materials/physics/lesson_80.pdf
81,Mathematics - Geometry and Measurement - Lesson 11,Mathematics,Geometry and Measurement,S3,Beginner,PDF,19,/materials/mathematics/lesson_81.pdf
82,Mathematics - Statistics and Probability - Lesson 5,Mathematics,Functions and Graphs,S1,Beginner,Video,36,/materials/mathematics/lesson_82.pdf
83,Physics - Matter and Heat - Lesson 15,Physics,Light and Sound,S1,Beginner,Video,34,/materials/physics/lesson_83.pdf
84,Mathematics - Ratios and Proportions - Lesson 13,Mathematics,Statistics and Probability,S1,Intermediate,Video,58,/materials/mathematics/lesson_84.pdf
85,Physics - Light and Sound - Lesson 18,Physics,Scientific Investigation,S3,Advanced,Interactive Exercise,24,/materials/physics/lesson_85.pdf
86,Physics - Forces and Energy - Lesson 9,Physics,Light and Sound,S2,Beginner,Video,31,/materials/physics/lesson_86.pdf
87,Physics - Scientific Investigation - Lesson 6,Physics,Light and Sound,S1,Advanced,Interactive Exercise,11,/materials/physics/lesson_87.pdf
88,Physics - Matter and Heat - Lesson 19,Physics,Scientific Investigation,S1,Beginner,Interactive Exercise,37,/materials/physics/lesson_88.pdf
89,Mathematics - Statistics and Probability - Lesson 6,Mathematics,Numbers and Operations,S2,Intermediate,Video,23,/materials/mathematics/lesson_89.pdf
90,Physics - Electricity and Magnetism - Lesson 11,Physics,Light and Sound,S2,Intermediate,Video,15,/materials/physics/lesson_90.pdf
91,Physics - Mechanics and Motion - Lesson 18,Physics,Mechanics and Motion,S2,Beginner,Interactive Exercise,14,/materials/physics/lesson_91.pdf
92,Mathematics - Numbers and Operations - Lesson 8,Mathematics,Algebra and Equations,S1,Advanced,PDF,25,/materials/mathematics/lesson_92.pdf
93,Mathematics - Statistics and Probability - Lesson 4,Mathematics,Ratios and Proportions,S1,Intermediate,Interactive Exercise,26,/materials/mathematics/lesson_93.pdf
94,Physics - Forces and Energy - Lesson 20,Physics,Matter and Heat,S3,Advanced,PDF,59,/materials/physics/lesson_94.pdf
95,Mathematics - Geometry and Measurement - Lesson 4,Mathematics,Ratios and Proportions,S1,Intermediate,Interactive Exercise,53,/materials/mathematics/lesson_95.pdf
96,Physics - Light and Sound - Lesson 7,Physics,Mechanics and Motion,S3,Advanced,Interactive Exercise,25,/materials/physics/lesson_96.pdf
97,Mathematics - Functions and Graphs - Lesson 10,Mathematics,Functions and Graphs,S3,Beginner,Interactive Exercise,60,/materials/mathematics/lesson_97.pdf
98,Mathematics - Geometry and Measurement - Lesson 18,Mathematics,Statistics and Probability,S3,Intermediate,PDF,42,/materials/mathematics/lesson_98.pdf
99,Physics - Mechanics and Motion - Lesson 14,Physics,Light and Sound,S1,Intermediate,Video,50,/materials/physics/lesson_99.pdf
100,Physics - Scientific Investigation - Lesson 5,Physics,Light and Sound,S1,Advanced,Interactive Exercise,51,/materials/physics/lesson_100.pdf
